tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,lmi_flag,growth_is_estimated
17183011200,-0.3635,-1.024,-0.402,-0.374,-1.253,-0.6522,Vermilion County,True,False
55079018800,-0.634,-0.964,-0.8024,0.209,-1.1175,-0.6538,Milwaukee County,True,False
17103000100,-0.4315,0.032,-1.0264,-0.8485,-0.7305,-0.6539,Lee County,False,False
17197882500,-2.168,-1.021333,0.3032,0.4975,-1.2145,-0.6544,Will County,True,True
17183010900,-0.5425,-0.459333,-0.402,-1.23,-0.653,-0.6545,Vermilion County,False,False
17119402300,-0.5955,-0.223333,-0.174,-1.641,-0.653,-0.6549,Madison County,True,False
17119400600,-2.356,-0.802,-0.174,0.9405,-1.04,-0.655,Madison County,True,False
55079009100,-1.435,-1.051333,-0.8024,0.678,-0.7305,-0.6559,Milwaukee County,True,False
17037001002,0.5365,-1.860667,-0.7556,-0.0325,-1.4465,-0.6564,DeKalb County,True,False
17107953400,0.1755,-0.466667,-1.4532,-1.7465,0.45,-0.6574,Logan County,False,False
55027960300,-2.7135,-0.626,-0.7764,-1.0,1.8635,-0.658,Dodge County,False,False
55097961300,0.4125,-0.054667,-3.0884,-0.2145,0.4115,-0.6584,Portage County,False,False
17077010100,-0.9275,-0.176667,0.0484,-1.354,-0.9435,-0.6593,Jackson County,False,False
55011960300,-0.5875,-0.382,0.266,-1.917,-0.8465,-0.6612,Buffalo County,False,False
17137952100,-0.8,-0.864,-0.2632,-1.418,-0.111,-0.6612,Morgan County,False,True
55139000700,0.206,-1.272,-1.6116,0.315,-0.866,-0.6627,Winnebago County,True,False
55079186100,-0.424,-1.756667,-0.8024,0.6825,-1.253,-0.663,Milwaukee County,True,False
17019011001,-0.889,-0.877333,-0.1792,-0.6005,-0.9435,-0.663,Champaign County,True,True
17057953700,-1.0535,-0.268,0.4004,-1.647,-0.924,-0.665,Fulton County,False,False
17031340300,-0.2895,-0.845333,-0.4464,-0.5395,-1.311,-0.6665,Cook County,True,False
17103000500,-0.5605,-0.098667,-1.0264,-1.1895,-0.227,-0.6669,Lee County,False,False
17157951201,-1.915,-0.304,0.8136,-1.083,-1.137,-0.6693,Randolph County,False,True
17061973800,-1.4405,-0.296,1.186,-2.1105,-1.0595,-0.67,Greene County,False,True
17017960100,-1.37,-0.545333,0.3136,-0.9835,-0.982,-0.6706,Cass County,False,False
17107953100,0.336,-0.59,-1.4532,-1.5385,0.102,-0.6719,Logan County,False,False
17107952900,-0.5475,-0.086,-1.4532,-0.8025,-0.1305,-0.6722,Logan County,False,False
17109010401,2.7015,-1.653333,-1.496,-1.5705,-1.3885,-0.6735,McDonough County,False,True
17183010100,-0.9785,-0.446,-0.402,-1.1135,-0.44,-0.6738,Vermilion County,False,False
55043960400,0.137,-0.427333,0.3472,-3.029,-0.595,-0.6747,Grant County,False,False
55097960500,-0.966,0.507333,-3.0884,-0.096,1.1665,-0.675,Portage County,False,False
17161023500,-2.698,-1.093333,0.6312,0.449,-1.0985,-0.6756,Rock Island County,True,False
55025001604,-0.658,-1.628,-0.7572,0.8735,-1.4275,-0.6759,Dane County,True,False
17123961200,-0.315,-0.537333,0.6484,-2.669,-0.808,-0.6769,Marshall County,False,False
17031500200,-1.8135,-0.951333,-0.4464,0.913,-1.2145,-0.6773,Cook County,True,False
17031834900,-1.539,-1.820667,-0.4464,1.128,-1.0595,-0.6789,Cook County,True,False
17195000700,-0.9625,-0.262667,0.4884,-2.253,-0.595,-0.6795,Whiteside County,False,False
55099970400,-0.5635,-0.608667,-1.1876,-0.066,-0.8275,-0.6797,Price County,False,False
17021958800,-0.734,-0.845333,-0.4496,-0.6855,-0.7885,-0.6809,Christian County,False,False
17031811701,-1.4365,-0.253333,-0.4464,-0.2585,-0.963,-0.6811,Cook County,True,False
17183010200,-0.8935,-0.647333,-0.402,-1.6205,0.0825,-0.6838,Vermilion County,True,False
17011964700,-0.311,-0.438,0.1676,-2.106,-0.8855,-0.6842,Bureau County,False,False
17107953000,0.377,-0.112,-1.4532,-1.2525,-0.653,-0.6858,Logan County,False,True
17017960500,-0.0885,-0.636,0.3136,-2.1225,-1.137,-0.6865,Cass County,True,False
55101001301,-0.3095,-0.456667,-3.1616,0.718,0.45,-0.6872,Racine County,False,False
17155954500,-0.1785,-0.383333,0.372,-2.553,-0.8855,-0.6879,Putnam County,False,False
55105000100,-0.4995,-1.662667,-0.1036,-0.157,-1.408,-0.6883,Rock County,True,False
17011965100,-0.278,-0.294667,0.1676,-2.407,-0.75,-0.6893,Bureau County,False,False
17057953000,-1.0365,-0.687333,0.4004,-1.4175,-0.982,-0.6902,Fulton County,False,False
55079017100,-1.42,-0.578667,-0.8024,0.3655,-0.963,-0.6909,Milwaukee County,True,True
17031340400,-0.0595,-1.175333,-0.4464,-0.568,-1.3885,-0.6911,Cook County,True,False
55073002102,-0.2945,0.194,1.532,-4.7235,-0.498,-0.6912,Marathon County,False,True
17159978100,-0.921,-0.472667,1.3996,-2.917,-1.021,-0.6928,Richland County,False,False
55139002001,0.442,0.089333,-1.6116,-2.1385,0.1795,-0.6929,Winnebago County,False,True
17115002906,0.3475,-1.380667,-0.3352,-1.183,-1.1755,-0.6931,Macon County,True,True
17031460100,-2.3315,-1.126,-0.4464,1.095,-0.8275,-0.6933,Cook County,True,False
17111870103,0.308,0.294,0.1076,-3.428,-0.7305,-0.6992,McHenry County,False,True
55079186000,-0.329,-1.732667,-0.8024,0.6195,-1.4855,-0.6996,Milwaukee County,True,False
17097862901,-1.611,-0.71,-0.7972,0.6735,-1.04,-0.7014,Lake County,True,False
17033880600,-0.4845,-0.636,0.3208,-2.006,-0.9435,-0.702,Crawford County,False,False
55099970200,-0.867,-0.746667,-1.1876,-0.3725,-0.227,-0.7022,Price County,True,False
55101001701,0.3015,-0.536,-3.1616,0.129,0.4115,-0.7023,Racine County,True,False
17027900403,-0.3695,-0.14,1.0108,-4.1715,-0.1305,-0.7025,Clinton County,False,True
55079017900,-2.1,-0.098,-0.8024,0.059,-0.4015,-0.7039,Milwaukee County,False,False
55139001200,-1.0445,-0.962,-1.6116,0.352,-0.0915,-0.704,Winnebago County,True,False
17129010300,-0.999,0.152,1.2216,-3.32,-0.8465,-0.705,Menard County,False,False
17031611800,-1.8925,-0.876,-0.4464,0.8725,-1.292,-0.7053,Cook County,True,False
