CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Lake Wales,0,811831,11285,FL,Atlantic Bank & Trust of Lake Wales,11285,
Monticello,0,271631,11286,FL,Farmers & Merchants Bank,11286,477124
Mulberry,0,80637,11287,FL,Flagship Bank of Mulberry,11287,
Macclenny,0,677934,11288,FL,The Citizens Bank of Macclenny,11288,84563
Mitchell,0,118053,1129,SD,Commercial Trust and Savings Bank,1129,173753
Valparaiso,0,293736,11290,FL,Vanguard Bank & Trust Company,11290,625486
Ashburn,0,735834,11291,GA,First South Bank,11291,42672
Buchanan,0,39934,11292,GA,First National Bank of Georgia,11292,211091
Thomasville,0,527730,11293,GA,Bank of Thomas County,11293,46281
Haddock,0,442534,11294,GA,Jones County Bank,11294,4934
Swainsboro,1,268136,11295,GA,The Citizens Bank of Swainsboro,11295,418889
Toccoa,0,285937,11296,GA,The Bank of Toccoa,11296,120116
Woodbury,0,34836,11297,GA,The Woodbury Banking Company,11297,21426
Abingdon,0,578732,11298,IL,Abingdon Bank and Trust Company,11298,16573
Alto Pass,1,856346,11299,IL,"Farmers State Bank of Alto Pass, Ill.",11299,356740
Oakdale,0,332345,11300,IL,Oakdale State Bank,11300,24384
Quincy,0,481542,11301,IL,Mercantile Bank,11301,467489
Saint Peter,1,426141,11302,IL,First State Bank of St. Peter,11302,30318
Union,0,469849,11304,IL,Midwest Bank of Mc Henry County,11304,375101
Vandalia,0,261548,11305,IL,First Bank of Fayette County,11305,41387
La Grange,1,608844,11306,IL,FNBC Bank & Trust,11306,580357
Pittsfield,1,477648,11307,IL,Farmers State Bank,11307,358113
Urbana,0,599148,11308,IL,Busey First National Bank,11308,253344
Herrin,1,835444,11310,IL,The Bank of Herrin,11310,359114
Cerro Gordo,0,246237,11311,IL,State Bank of Cerro Gordo,11311,37543
Cisne,0,214647,11313,IL,Cisne State Bank,11313,22344
Farina,0,162645,11315,IL,State Bank of Farina,11315,28814
Heyworth,0,802231,11316,IL,First State Bank of Heyworth,11316,22709
Salem,1,233442,11317,IL,The Iuka State Bank,11317,136216
Mount Pulaski,1,830645,11319,IL,Longview Community Bank,11319,271268
Mount Morris,0,828848,11321,IL,"AMCORE Bank, Ogle County",11321,45768
Alton,0,806444,11322,IL,Mercantile Bank of Illinois,11322,640775
Ashley,0,201843,11323,IL,Ashley State Bank,11323,25917
Bushnell,1,321330,11324,IL,Farmers and Merchants State Bank of Bushnell,11324,90179
Champaign,0,393337,11325,IL,"Bank One, Champaign-Urbana",11325,272332
Gardner,0,870436,11326,IL,Exchange Bank,11326,97416
Ingraham,0,660646,11328,IL,Ingraham State Bank,11328,14354
Joy,0,948036,11329,IL,Farmers-Merchants Bank of Illinois,11329,286687
Winner,0,501356,1133,SD,Norwest State Bank,1133,93201
Timewell,0,133243,11331,IL,Timewell State Bank,11331,7209
Alexis,0,651336,11333,IL,The Bank of Alexis,11333,17154
Corydon,0,74748,11334,IN,Old Capital Bank and Trust Company,11334,218219
Fort Wayne,0,420448,11335,IN,Summit Bank,11335,1584668
Franklin,0,464349,11336,IN,"Bank One, Franklin",11336,91560
Louisville,0,234645,11338,KY,1st Independence Bank,11338,297665
Woonsocket,0,440754,1134,SD,Sanborn County Bank,1134,16709
Rockport,0,1017742,11340,IN,Farmers State Bank,11340,30819
Petersburg,0,1014040,11341,IN,Citizens State Bank,11341,117361
Ashton,1,821643,11343,IA,Ashton State Bank,11343,55018
Clinton,0,835640,11345,IA,Marquette Bank Clinton,11345,89320
Farley,0,683140,11346,IA,Farley State Bank,11346,34943
Grinnell,1,783246,11347,IA,Grinnell State Bank,11347,496789
Keosauqua,0,845443,11348,IA,First Iowa State Bank,11348,148908
Knoxville,0,849647,11349,IA,Iowa State Savings Bank,11349,182765
Bloomer,0,210555,1135,WI,Peoples State Bank of Bloomer,1135,116558
Cedar Falls,0,2721475,11350,IA,The First National Bank of Cedar Falls,11350,52795
Riverside,0,591740,11351,IA,Peoples Trust and Savings Bank,11351,32422
Sanborn,1,595944,11352,IA,Sanborn Savings Bank,11352,90162
Oskaloosa,0,686440,11354,IA,Bank Iowa,11354,147807
